"sub","number","name","url"
"ART","355","Medieval Art History","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/300/ART-355"
"ART","356","History, Literature, and Art of the Italian Renaissance","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/300/ART-356"
"ART","397","Internship","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/300/ART-397"
"ART","399T","Speical Topics in Art","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/300/ART-399T"
"ART","400","Senior Exhibition","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/400/ART-400"
"ART","401","Senior Exhibit: Two Dimensional Media","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/400/ART-401"
"ART","402","Senior Exhibit: Three Dimensional Media","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/400/ART-402"
"ART","415","Professional Practices in Visual Arts","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/400/ART-415"
"ART","490","Visual Studies Portfolio and Program Assessment","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/400/ART-490"
"ART","494","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/400/ART-494"
"ART","497","Internship","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/400/ART-497"
"ART","499T","Special Topics in Art","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/400/ART-499T"
"ASN","302.1","SE Asia: Traditions and Transitions","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ASN-Asian-Studies/30000/ASN-302-1"
"ASN","302.2","SE Asia: Traditions and Transitions","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ASN-Asian-Studies/30000/ASN-302-2"
"ASN","494","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ASN-Asian-Studies/400/ASN-494"
"ATH","101","Cultural Anthropology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/100/ATH-101"
"ATH","128","Understanding Spirit in Art and Culture","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/100/ATH-128"
"ATH","199T","Special Topics in Anthropology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/100/ATH-199T"
"ATH","202","Cultural Diversity","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/200/ATH-202"
"ATH","206","Native North Americans","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/200/ATH-206"
"ATH","249","Natives of South America","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/200/ATH-249"
"ATH","294","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/200/ATH-294"
"ATH","299T","Special Topics in Anthropology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/200/ATH-299T"
"ATH","300","Anthropology and Art","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-300"
"ATH","305","Culture Change and the World System","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-305"
"ATH","308","Gender in Cross Cultural Perspective","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-308"
"ATH","309","Cross-Cultural Approaches to Environment","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-309"
"ATH","399T","Special Topics in Anthropology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-399T"
"ATH","404","Theories in Anthropology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/400/ATH-404"
"ATH","494","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/400/ATH-494"
"ATH","497","Internship","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/400/ATH-497"
"ATH","499T","Special Topics in Anthropology","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATH-Anthropology/400/ATH-499T"
"ATHSOC","290","Seminar in Social Research","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/200/ATHSOC-290"
"ATHSOC","490","Anthropology/Sociology Senior Seminar","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/400/ATHSOC-490"
"ATHSOC","492","Anthropology/Sociology Portfolio","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/400/ATHSOC-492"
"ATHSOC","493","Human Service Portfolio","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/400/ATHSOC-493"
"ATHSOC","494","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/400/ATHSOC-494"
"ATHSOC","497","Internship","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/400/ATHSOC-497"
"BIO","102","Biology of Human Disease","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-102"
"BIO","102L","Biology of Human Disease Lab","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/BIO-Biology/100/BIO-102L"
